Время;Канал A
(с);(В)

-2,50014997;0,00799585
-2,50009997;-0,00094607
-2,50004997;-0,00094607
-2,49999997;-0,00094607
-2,49994997;-0,00094607
-2,49989997;-0,00094607
-2,49984997;-0,00094607
-2,49979997;0,00799585
-2,49974997;-0,00094607
-2,49969997;-0,00094607
-2,49964997;-0,00094607
-2,49959997;-0,00094607
-2,49954997;-0,00094607
-2,49949997;-0,00094607
-2,49944997;-0,00094607
-2,49939997;-0,00094607
-2,49934997;-0,00094607
-2,49929997;-0,00094607
-2,49924997;-0,00094607
-2,49919997;-0,00094607
-2,49914997;-0,00094607
-2,49909997;-0,00094607
-2,49904997;0,00799585
-2,49899997;-0,00094607
-2,49894997;-0,00094607
-2,49889997;0,00799585
-2,49884997;-0,00094607
-2,49879997;-0,00094607
-2,49874997;-0,00094607
-2,49869997;-0,00094607
-2,49864997;-0,00094607
-2,49859997;-0,00094607
-2,49854997;-0,00094607
-2,49849997;0,00799585
-2,49844997;0,00799585
-2,49839997;0,00799585
-2,49834997;-0,00094607
-2,49829997;-0,00094607
-2,49824997;-0,00094607
-2,49819997;-0,00094607
-2,49814997;-0,00094607
-2,49809997;-0,00094607
-2,49804997;-0,00094607
-2,49799997;0,00799585
-2,49794997;-0,00094607
-2,49789997;-0,00094607
-2,49784997;-0,00094607
-2,49779997;-0,00094607
-2,49774997;-0,00094607
-2,49769997;-0,00094607
-2,49764997;0,00799585
-2,49759997;-0,00094607
-2,49754997;-0,00094607
-2,49749997;-0,00094607
-2,49744997;-0,00094607
-2,49739997;-0,00094607
-2,49734997;-0,00094607
-2,49729997;-0,00094607
-2,49724997;-0,00094607
-2,49719997;-0,00094607
-2,49714997;-0,00094607
-2,49709997;-0,00094607
-2,49704997;0,00799585
-2,49699997;-0,00094607
-2,49694997;-0,00991852
-2,49689997;-0,00094607
-2,49684997;-0,00094607
-2,49679997;-0,00094607
-2,49674997;-0,00094607
-2,49669997;-0,00094607
-2,49664997;-0,00094607
-2,49659997;-0,00094607
-2,49654997;0,00799585
-2,49649997;-0,00094607
-2,49644997;-0,00094607
-2,49639997;-0,00094607
-2,49634997;0,00799585
-2,49629997;-0,00094607
-2,49624997;-0,00094607
